"","NUTS1","NUTS2","AreaType","Anz"
"356","RP","Worms","district",15
"357","RP","ZweibrÃ¼cken","district",4
"358","SH","Dithmarschen","district",39
"359","SH","Flensburg","district",9
"360","SH","Herzogtum Lauenburg","district",58
"361","SH","Kiel","district",37
"362","SH","Landkreis Schleswig-Flensburg","district",5
"363","SH","LÃ¼beck","district",47
"364","SH","NeumÃ¼nster","district",16
"365","SH","Nordfriesland","district",46
"366","SH","Ostholstein","district",57
"367","SH","Pinneberg","district",66
"368","SH","PlÃ¶n","district",41
"369","SH","Rendsburg-EckernfÃ¶rde","district",85
"370","SH","Schleswig-Flensburg","district",87
"371","SH","Segeberg","district",75
"372","SH","Steinburg","district",39
"373","SH","Stormarn","district",80
"374","SL","Merzig-Wadern","district",24
"375","SL","Neunkirchen","district",29
"376","SL","Regionalverband SaarbrÃ¼cken","district",52
"377","SL","Saarlouis","district",35
"378","SL","Saarpfalz-Kreis","district",22
"379","SL","St. Wendel","district",21
"380","SN"," Chemnitz","district",1
"381","SN","Bautzen","district",86
"382","SN","Chemnitz","district",5
"383","SN","Dresden","district",100
"384","SN","Erzgebirgskreis","district",85
"385","SN","GÃ¶rlitz","district",88
"386","SN","Kreisfreie Stadt Chemnitz","district",48
"387","SN","Kreisfreie Stadt GÃ¶rlitz","district",7
"388","SN","Kreisfreie Stadt Leipzig","district",87
"389","SN","Landkreis LÃ¶bau-Zittau","district",2
"390","SN","Landkreis Riesa-GroÃenhain","district",4
"391","SN","Leipzig","district",65
"392","SN","MeiÃen","district",63
"393","SN","Mittelsachsen","district",92
"394","SN","Nordsachsen","district",63
"395","SN","SÃ¤chsische Schweiz-Osterzgebirge","district",72
"396","SN","Vogtlandkreis","district",70
"397","SN","Zwickau","district",105
"398","ST","Altmarkkreis Salzwedel","district",21
"399","ST","Anhalt-Bitterfeld","district",32
"400","ST","BÃ¶rde","district",38
"401","ST","Burgenlandkreis","district",48
"402","ST","Dessau-RoÃlau","district",16
"403","ST","Halle (Saale)","district",69
"404","ST","Harz","district",73
"405","ST","Jerichower Land","district",28
"406","ST","Kreisfreie Stadt Halle","district",3
"407","ST","Landkreis Anhalt-Zerbst","district",3
"408","ST","Landkreis Aschersleben-StaÃfurt","district",3
"409","ST","Landkreis Bitterfeld","district",9
"410","ST","Landkreis Halberstadt","district",5
"411","ST","Landkreis KÃ¶then","district",2
"412","ST","Landkreis Mansfelder Land","district",6
"413","ST","Landkreis SchÃ¶nebeck","district",2
"414","ST","Landkreis Wernigerode","district",2
"415","ST","Magdeburg","district",44
"416","ST","Mansfeld-SÃ¼dharz","district",35
"417","ST","Ohrekreis","district",1
"418","ST","Saalekreis","district",28
"419","ST","Salzlandkreis","district",73
"420","ST","Stendal","district",26
"421","ST","Wittenberg","district",20
"422","TH","Altenburger Land","district",24
"423","TH","Eichsfeld","district",30
"424","TH","Eisenach","district",15
"425","TH","Erfurt","district",28
"426","TH","Gera","district",20
"427","TH","Gotha","district",29
"428","TH","Greiz","district",28
"429","TH","Hildburghausen","district",25
"430","TH","Ilm-Kreis","district",23
"431","TH","Jena","district",17
"432","TH","KyffhÃ¤userkreis","district",21
"433","TH","Nordhausen","district",28
"434","TH","Saale-Holzland-Kreis","district",12
"435","TH","Saale-Orla-Kreis","district",18
"436","TH","Saalfeld-Rudolstadt","district",29
"437","TH","Schmalkalden-Meiningen","district",30
"438","TH","SÃ¶mmerda","district",15
"439","TH","Sonneberg","district",17
"440","TH","Suhl","district",12
"441","TH","Unstrut-Hainich-Kreis","district",30
"442","TH","Wartburgkreis","district",24
"443","TH","Weimar","district",17
"444","TH","Weimarer Land","district",13
