"","tourism","lat","lon","place","name","website"
"192",1,48.4485034,10.2810206,Bayern,222,NA
"193",1,48.7648446,11.4145629,Bayern,246,56
"194",1,47.65618,11.3632646,Bayern,247,NA
"195",1,50.2445715,11.3281201,Bayern,203,NA
"196",1,49.2038791,13.0512973,Bayern,236,NA
"197",1,50.1527097,11.057698,Bayern,215,NA
"198",1,47.5540652,9.700087,Bayern,226,NA
"199",1,49.4581497,11.0776402,Bayern,248,57
"200",1,49.6644753,10.0637074,Bayern,178,NA
"201",1,49.8927084,9.587929,Bayern,195,NA
"202",1,48.8778757,12.5834395,Bayern,236,NA
"203",1,49.5203359,12.2648644,Bayern,223,NA
"204",1,49.7894238,9.9243651,Bayern,253,NA
"205",1,49.1980915,10.8786485,Bayern,224,NA
"206",1,49.0150442,13.2424906,Bayern,225,NA
"207",1,47.6643889,11.7478541,Bayern,251,NA
"208",1,48.0594056,11.5303801,Bayern,191,68
"209",1,47.7082045,11.3973055,Bayern,238,NA
"210",1,47.8725762,12.3392749,Bayern,198,58
"211",1,50.374404,11.7332079,Bayern,263,NA
"212",1,50.0942719,9.6460249,Bayern,189,NA
"213",1,48.1345604,11.3389124,Bayern,276,NA
"214",1,49.8572155,12.1732999,Bayern,294,NA
"215",1,47.5737695,10.6875415,Bayern,241,75
"216",1,49.0124059,12.0362662,Bayern,194,NA
"217",1,49.7375893,10.1499503,Bayern,285,NA
"218",1,49.7235163,10.1566527,Bayern,208,NA
"219",1,50.0784968,9.668013,Bayern,289,NA
"220",1,49.7785605,11.3995719,Bayern,249,NA
"221",1,49.7703924,11.494919,Bayern,282,71
"222",1,49.1495522,12.1751904,Bayern,257,93
"223",1,49.7811087,10.4497081,Bayern,187,NA
"224",1,47.8642691,12.024163,Bayern,265,NA
"225",1,47.6928659,11.8844934,Bayern,252,83
"226",1,49.5954682,11.0109057,Bayern,240,NA
"227",1,48.5388838,11.5206262,Bayern,214,NA
"228",1,48.2685817,11.451776,Bayern,231,NA
"229",1,48.675286,11.2316608,Bayern,284,59
"230",1,49.8001417,9.9360091,Bayern,182,NA
"231",1,48.4512079,10.5742837,Bayern,188,NA
"232",1,48.1384813,11.5603125,Bayern,199,72
"233",1,48.1386693,11.5603232,Bayern,220,79
"234",1,48.1389289,11.5603286,Bayern,296,91
"235",1,50.1795004,10.0652396,Bayern,212,NA
"236",1,47.4911155,11.099682,Bayern,217,NA
"237",1,47.8698733,10.1945439,Bayern,277,NA
"238",1,47.7012406,11.8777426,Bayern,234,81
"239",1,47.6917382,11.8885756,Bayern,293,80
"240",1,48.1654047,11.4640835,Bayern,281,NA
"241",1,48.1604345,11.5846946,Bayern,218,64
"242",1,48.1650355,11.4653477,Bayern,209,77
"243",1,48.1649666,11.470369,Bayern,207,NA
"244",1,48.1653933,11.464938,Bayern,209,77
"245",1,50.3040134,11.9091106,Bayern,245,NA
"246",1,50.1469366,11.9282813,Bayern,272,NA
"247",1,49.5997591,11.5263505,Bayern,244,NA
"248",1,47.4193425,11.1130838,Bayern,NA,NA
"249",1,48.3531812,11.0176413,Bayern,273,94
"250",1,48.5260231,10.8692,Bayern,279,85
"251",1,48.9644316,10.8971104,Bayern,275,86
"252",1,48.5385856,11.4978145,Bayern,274,95
"253",1,49.0109411,11.9640915,Bayern,269,NA
"254",1,49.6094691,11.3908437,Bayern,270,NA
"255",1,50.1653372,12.1404132,Bayern,278,NA
"256",1,50.123811,11.8882691,Bayern,280,NA
"257",1,49.7183855,11.0786742,Bayern,197,NA
"258",1,47.9071853,12.507871,Bayern,259,NA
"259",1,49.9465578,11.4016752,Bayern,200,NA
"260",1,48.3927678,9.996429,Bayern,186,67
"261",1,50.0970542,12.2241945,Bayern,260,NA
"262",1,48.285755,10.4843432,Bayern,227,65
"263",1,49.4141704,11.1163324,Bayern,181,60
"264",1,49.7698948,12.3864998,Bayern,229,NA
"265",1,47.614029,12.8750303,Bayern,206,NA
"266",1,50.175937,10.7377142,Bayern,192,NA
"267",1,49.8992235,10.8957641,Bayern,183,NA
"268",1,50.2478018,11.2078681,Bayern,232,NA
"269",1,49.8431188,11.0396589,Bayern,283,87
"270",1,50.2253336,12.0101157,Bayern,213,NA
"271",1,49.2710492,12.3054318,Bayern,185,66
"272",1,49.459384,12.0488475,Bayern,256,76
"273",1,50.250542,10.1927438,Bayern,233,NA
"274",1,50.4203999,10.0122792,Bayern,NA,NA
"275",1,48.1939233,12.6298641,Bayern,264,NA
"276",1,49.5870097,11.423952,Bayern,295,NA
"277",1,49.8980716,10.897794,Bayern,216,NA
"278",1,49.0547816,12.4461002,Bayern,261,NA
"279",1,49.1213847,12.7941475,Bayern,235,NA
"280",1,47.4651027,10.105088,Bayern,292,NA
"281",1,47.6052248,10.4095078,Bayern,202,NA
"282",1,48.394301,11.753149,Bayern,298,NA
"283",1,47.9474952,11.112967,Bayern,267,NA
"284",1,47.7082961,11.4037441,Bayern,196,NA
"285",1,49.4474511,11.074245,Bayern,204,74
"286",1,48.9259318,13.4663817,Bayern,254,NA
"287",1,50.2206395,10.7474828,Bayern,297,NA
"288",1,48.8372766,13.3265357,Bayern,286,96
"289",1,47.5583423,10.0968048,Bayern,288,89
"290",1,48.1301208,11.5570085,Bayern,291,NA
"291",1,47.9609613,11.1507771,Bayern,NA,90
"292",1,48.1649029,11.4687937,Bayern,210,NA
"293",1,48.0500907,10.8811637,Bayern,228,61
"294",1,48.4850216,10.6025659,Bayern,290,NA
"295",1,49.1156315,10.7527456,Bayern,299,NA
"296",1,49.9325153,11.5886724,Bayern,237,NA
