"","place","lat","lon","mapfeature","kvalue","operator","capacity"
"1959177229","Baden-Württemberg",48.9742968,8.4046281,"car_sharing","amenity","Stadtmobil",NA
"1959177253","Baden-Württemberg",48.9668221,8.4001745,"car_sharing","amenity","Stadtmobil",NA
"1959177303","Baden-Württemberg",48.9661331,8.4057292,"car_sharing","amenity","Stadtmobil",NA
"1959178067","Baden-Württemberg",48.9875527,8.4545872,"car_sharing","amenity","Stadtmobil",NA
"1961083481","Baden-Württemberg",48.9911662,8.4017027,"car_sharing","amenity","DB Rent GmbH",NA
"1961083485","Baden-Württemberg",48.993742,8.3989492,"car_sharing","amenity","DB Rent GmbH",NA
"1961083488","Baden-Württemberg",48.9984297,8.3981181,"car_sharing","amenity","Flinkster",NA
"1961200277","Baden-Württemberg",48.9756322,8.3073483,"car_sharing","amenity",NA,NA
"1961235380","Baden-Württemberg",48.9590529,8.2943324,"car_sharing","amenity",NA,NA
"1985505114","Baden-Württemberg",49.3777874,8.6694462,"car_sharing","amenity","Stadtmobil",NA
"1985510043","Baden-Württemberg",49.3739035,8.683104,"car_sharing","amenity","Stadtmobil",NA
"1985510374","Baden-Württemberg",49.3769857,8.6847203,"car_sharing","amenity","Stadtmobil",NA
"1985512577","Baden-Württemberg",49.3763424,8.6904918,"car_sharing","amenity","Stadtmobil",NA
"1985514956","Baden-Württemberg",49.3806318,8.6903397,"car_sharing","amenity","Stadtmobil",NA
"1985515065","Baden-Württemberg",49.3845467,8.6890952,"car_sharing","amenity","Stadtmobil Rhein-Neckar","1"
"1985517165","Baden-Württemberg",49.38671,8.6889664,"car_sharing","amenity","Stadtmobil Rhein-Neckar","1"
"1985519762","Baden-Württemberg",49.3940819,8.6861279,"car_sharing","amenity","stadtmobil Rhein-Neckar","1"
"1985522075","Baden-Württemberg",49.3995012,8.6869038,"car_sharing","amenity","stadtmobil Rhein-Neckar",NA
"2020721552","Baden-Württemberg",49.0968671,8.4000305,"car_sharing","amenity","Stadtmobil",NA
"2037278707","Baden-Württemberg",48.7637915,9.1673095,"car_sharing","amenity","Flinkster","2"
"2075179597","Baden-Württemberg",49.4023964,8.6765116,"car_sharing","amenity","stadtmobil Rhein-Neckar","2"
"2122161094","Baden-Württemberg",49.4723285,8.4693641,"car_sharing","amenity","stadtmobil",NA
"2148001820","Baden-Württemberg",48.793781,9.2029152,"car_sharing","amenity","Flinkster","1"
"2176776460","Baden-Württemberg",48.9431499,9.4271318,"car_sharing","amenity","Stadtmobil","2"
"2196590264","Baden-Württemberg",49.1496467,9.2149656,"car_sharing","amenity","stadtmobil","1"
"2208760320","Baden-Württemberg",49.4056017,8.6751788,"car_sharing","amenity","stadtmobil Rhein-Neckar","3"
"2210234523","Baden-Württemberg",49.0067676,8.5209894,"car_sharing","amenity","Stadtmobil","1"
"2247156948","Baden-Württemberg",48.6875146,9.0025159,"car_sharing","amenity","stadtmobil carsharing AG","1"
"2267930042","Baden-Württemberg",48.1034629,9.7716059,"car_sharing","amenity","teilAuto Biberach/Riss e.V.","1"
"2267934837","Baden-Württemberg",48.0972737,9.7905045,"car_sharing","amenity","teilAuto Biberach/Riss e.V.","1"
"2277946920","Baden-Württemberg",49.4277498,8.6794326,"car_sharing","amenity","stadtmobil","1"
"2277946924","Baden-Württemberg",49.437606,8.6778079,"car_sharing","amenity","stadtmobil","3 PKW"
"2279212401","Baden-Württemberg",48.6810115,8.9747093,"car_sharing","amenity","Stadtmobil Stuttgart","1"
"2284015342","Baden-Württemberg",49.4064375,8.6918384,"car_sharing","amenity","stadtmobil","3"
"2284021120","Baden-Württemberg",49.4075653,8.6902108,"car_sharing","amenity","stadtmobil Rhein-Neckar","3"
"2293773566","Baden-Württemberg",48.4011798,9.9833889,"car_sharing","amenity","Flinkster","5"
"2302852265","Baden-Württemberg",49.445487,8.6681418,"car_sharing","amenity","stadtmobil","1 PKW"
"2302852270","Baden-Württemberg",49.4487368,8.6710487,"car_sharing","amenity","stadtmobil","4 PKW"
"2302852275","Baden-Württemberg",49.4515436,8.6749544,"car_sharing","amenity","stadtmobil","1 PKW"
"2335100685","Baden-Württemberg",49.4868649,8.4643545,"car_sharing","amenity",NA,NA
"2335111824","Baden-Württemberg",49.4874155,8.4625622,"car_sharing","amenity",NA,NA
"2335119549","Baden-Württemberg",49.4858954,8.4634001,"car_sharing","amenity",NA,NA
"2335120731","Baden-Württemberg",49.4912417,8.4603148,"car_sharing","amenity",NA,NA
"2335121051","Baden-Württemberg",49.4922729,8.4638607,"car_sharing","amenity",NA,NA
"2335122116","Baden-Württemberg",49.4907357,8.4764625,"car_sharing","amenity",NA,NA
"2335123253","Baden-Württemberg",49.4876732,8.4745091,"car_sharing","amenity",NA,NA
"2335123776","Baden-Württemberg",49.4879208,8.4737741,"car_sharing","amenity",NA,NA
"2335125509","Baden-Württemberg",49.4855476,8.4760591,"car_sharing","amenity",NA,NA
"2335154653","Baden-Württemberg",49.4845717,8.4699493,"car_sharing","amenity","Stadtmobil Rhein-Neckar AG",NA
"2335155709","Baden-Württemberg",49.4824599,8.4742406,"car_sharing","amenity",NA,NA
"2335155967","Baden-Württemberg",49.4841151,8.4706038,"car_sharing","amenity","Stadtmobil Rhein-Neckar AG",NA
"2335158698","Baden-Württemberg",49.494538,8.468388,"car_sharing","amenity",NA,NA
"2335175903","Baden-Württemberg",49.5001191,8.5444131,"car_sharing","amenity",NA,NA
"2335179524","Baden-Württemberg",49.4904727,8.5307467,"car_sharing","amenity",NA,NA
"2335203622","Baden-Württemberg",49.5063692,8.486112,"car_sharing","amenity",NA,NA
"2335203640","Baden-Württemberg",49.5081111,8.5133743,"car_sharing","amenity",NA,NA
"2335205495","Baden-Württemberg",49.5001607,8.4901022,"car_sharing","amenity","stadtmobil",NA
"2335206115","Baden-Württemberg",49.4999523,8.4801253,"car_sharing","amenity",NA,NA
"2335206404","Baden-Württemberg",49.5054356,8.4689995,"car_sharing","amenity","stadtmobil",NA
"2335206668","Baden-Württemberg",49.499576,8.4711882,"car_sharing","amenity","stadtmobil",NA
"2335207635","Baden-Württemberg",49.4966773,8.4716496,"car_sharing","amenity","stadtmobil",NA
"2335208197","Baden-Württemberg",49.4948476,8.4784994,"car_sharing","amenity","stadtmobil",NA
"2335208912","Baden-Württemberg",49.4936853,8.481821,"car_sharing","amenity","stadtmobil",NA
"2335209493","Baden-Württemberg",49.496524,8.4789773,"car_sharing","amenity","stadtmobil",NA
"2335209634","Baden-Württemberg",49.4976929,8.4819126,"car_sharing","amenity","stadtmobil",NA
"2335212222","Baden-Württemberg",49.4987455,8.4780507,"car_sharing","amenity","stadtmobil",NA
"2335219530","Baden-Württemberg",49.5232149,8.4865255,"car_sharing","amenity","stadtmobil",NA
"2335220526","Baden-Württemberg",49.4971163,8.4571764,"car_sharing","amenity",NA,NA
"2335222787","Baden-Württemberg",49.4862167,8.4811982,"car_sharing","amenity",NA,NA
"2335223633","Baden-Württemberg",49.4787446,8.4866055,"car_sharing","amenity",NA,NA
"2335223863","Baden-Württemberg",49.4787167,8.4841808,"car_sharing","amenity","Stadtmobil Rhein-Neckar",NA
"2335225263","Baden-Württemberg",49.4798878,8.4779045,"car_sharing","amenity",NA,NA
"2335225518","Baden-Württemberg",49.4793022,8.4748253,"car_sharing","amenity",NA,NA
"2335226036","Baden-Württemberg",49.4771552,8.4806296,"car_sharing","amenity",NA,NA
"2335226484","Baden-Württemberg",49.4770715,8.478634,"car_sharing","amenity",NA,NA
"2335229003","Baden-Württemberg",49.4778139,8.4737041,"car_sharing","amenity",NA,NA
